GEOID,medrnt12,medrnt12_moe
060014271003,1777.6200000000001,756.84
060014272001,1286.8400000000001,130.38
060014272002,1411.92,148.4
060014272003,1345.14,196.10000000000002
060014272004,1711.9,944.46
060014272005,NA,NA
060014273001,1115.1200000000001,147.34
060014273002,2121.06,NA
060014273003,1658.9,1193.5600000000002
060014273004,1246.5600000000002,239.56
060014273005,826.8000000000001,325.42
060014276001,1568.8000000000002,74.2
060014276002,1278.3600000000001,112.36
060014276003,596.7800000000001,276.66
060014277001,1193.5600000000002,59.36
060014277002,1353.6200000000001,125.08000000000001
060014277003,1459.6200000000001,73.14
060014277004,1822.14,356.16
060014278001,1420.4,367.82
060014278002,1451.14,389.02000000000004
060014278003,1244.44,49.82
060014278004,1462.8000000000002,131.44
060014278005,1032.44,126.14
060014279001,1297.44,262.88
060014279002,1040.92,196.10000000000002
060014279003,1352.5600000000002,107.06
060014279004,1485.0600000000002,784.4000000000001
060014279005,1361.04,186.56
060014280001,1173.42,76.32000000000001
060014280002,1319.7,140.98000000000002
060014281001,1786.1000000000001,365.70000000000005
060014281002,1372.7,464.28000000000003
060014281003,1418.28,495.02000000000004
060014281004,933.86,116.60000000000001
060014282001,2121.06,NA
060014282002,1732.0400000000002,196.10000000000002
060014282003,1300.6200000000001,477
060014282004,1697.0600000000002,378.42
060014282005,729.2800000000001,2392.42
060014283011,1318.64,2159.2200000000003
060014283012,2121.06,NA
060014283013,1855,871.32
060014283014,2121.06,NA
060014283021,2121.06,NA
060014283022,2121.06,NA
060014283023,2108.34,323.3
060014284001,1446.9,166.42000000000002
060014284002,1362.1000000000001,124.02000000000001
060014284003,1416.16,74.2
060014285001,1568.8000000000002,72.08
060014285002,1265.64,677.34
060014286001,1543.3600000000001,189.74
060014286002,1259.28,140.98000000000002
060014286003,1972.66,261.82
060014287001,1195.68,293.62
060014287002,603.14,867.08
060014301011,2121.06,NA
060014301012,2121.06,NA
060014301013,2121.06,NA
060014301021,1739.46,861.7800000000001
060014302001,2121.06,NA
060014302002,NA,NA
060014302003,2121.06,NA
060014302004,2121.06,NA
060014302005,2121.06,NA
060014303001,2121.06,NA
060014303002,1942.98,457.92
060014303003,263.94,2494.1800000000003
060014304001,829.98,78.44
060014304002,2121.06,NA
060014305001,1882.5600000000002,279.84000000000003
060014305002,1393.9,80.56
060014305003,1351.5,115.54
060014306001,NA,NA
060014306002,1240.2,468.52000000000004
060014306003,2121.06,NA
060014306004,NA,NA
060014307001,574.52,2850.34
060014307002,1506.26,187.62
060014307003,1319.7,786.5200000000001
060014308001,2121.06,NA
060014308002,1447.96,559.6800000000001
060014308003,1437.3600000000001,190.8
060014308004,1351.5,251.22
060014309001,1497.78,144.16
060014309002,1262.46,84.80000000000001
060014310001,1179.78,183.38
060014310002,1385.42,240.62
060014311001,1306.98,164.3
060014311002,1261.4,61.480000000000004
060014312001,1630.28,468.52000000000004
060014312002,1264.5800000000002,84.80000000000001
060014312003,1719.3200000000002,559.6800000000001
060014321001,1242.3200000000002,541.6600000000001
060014321002,1021.84,43.46
060014321003,NA,NA
060014322001,996.4000000000001,310.58000000000004
060014322002,1240.2,369.94
060014322003,1303.8,193.98000000000002
060014323001,1256.1000000000001,118.72
060014323002,968.84,196.10000000000002
060014323003,1277.3,505.62
060014324001,1311.22,338.14000000000004
060014324002,1417.22,142.04000000000002
060014324003,1257.16,142.04000000000002
060014325011,1640.88,718.6800000000001
060014325012,1665.26,330.72
060014325013,1064.24,100.7
060014325021,1034.56,65.72
060014325022,1552.9,410.22
060014325023,1282.6000000000001,119.78
060014326001,1403.44,96.46000000000001
060014326002,1231.72,53
060014326003,1385.42,490.78000000000003
060014326004,1002.7600000000001,760.02
060014326005,1311.22,127.2
060014327001,2121.06,NA
060014327002,1286.8400000000001,396.44
060014327003,1467.04,162.18
060014328001,NA,NA
060014328002,914.7800000000001,86.92
060014328003,1346.2,697.48
060014330001,NA,NA
060014330002,1696,560.74
060014330003,1053.64,416.58000000000004
060014330004,1862.42,201.4
060014331021,1547.6000000000001,146.28
060014331022,1122.54,267.12
060014331031,1259.28,169.60000000000002
060014331032,1021.84,27.560000000000002
060014331041,1251.8600000000001,110.24000000000001
060014331042,907.36,841.64
060014331043,1219,85.86
060014332001,1295.3200000000002,191.86
060014332002,1334.54,121.9
060014332003,1187.2,44.52
060014332004,NA,NA
060014333001,1912.24,337.08000000000004
060014333002,1746.88,232.14000000000001
060014333003,1677.98,230.02
060014333004,2009.76,922.2
060014333005,1970.5400000000002,750.48
060014334001,1489.3000000000002,65.72
060014334002,2121.06,NA
060014334003,682.64,1300.6200000000001
060014334004,2121.06,NA
060014334005,2121.06,NA
060014334006,857.5400000000001,700.6600000000001
060014335001,1605.9,767.44
060014335002,1656.78,894.6400000000001
060014335003,1605.9,869.2
060014335004,1235.96,333.90000000000003
060014336001,1503.0800000000002,130.38
060014336002,959.3000000000001,126.14
060014336003,1525.3400000000001,111.30000000000001
060014336004,1460.68,271.36
060014337001,1156.46,81.62
060014337002,1021.84,157.94
060014337003,1321.8200000000002,160.06
060014338001,1428.88,894.6400000000001
060014338002,1285.78,125.08000000000001
060014338003,1314.4,223.66000000000003
060014338004,1621.8000000000002,380.54
060014339001,1239.14,111.30000000000001
060014339002,1204.16,201.4
060014339003,1104.52,576.64
060014339004,1094.98,119.78
060014340001,1094.98,184.44
060014340002,1481.88,147.34
060014340003,458.98,311.64000000000004
060014351021,1757.48,379.48
060014351022,1936.6200000000001,307.40000000000003
060014351031,1891.0400000000002,549.08
060014351032,2121.06,NA
060014351033,NA,NA
060014351041,1557.14,156.88
060014351042,1463.8600000000001,114.48
060014351043,1170.24,132.5
060014352001,1272,140.98000000000002
060014352002,2121.06,NA
060014353001,1109.8200000000002,219.42000000000002
060014353002,1198.8600000000001,136.74
060014353003,1455.38,81.62
060014354001,1288.96,100.7
060014354002,950.82,325.42
060014354003,1127.8400000000001,214.12
060014355001,944.46,157.94
060014355002,1288.96,91.16000000000001
060014355003,1159.64,76.32000000000001
060014356011,1220.0600000000002,56.18
060014356012,1265.64,276.66
060014356021,1088.6200000000001,290.44
060014356022,1285.78,311.64000000000004
060014356023,1246.5600000000002,392.20000000000005
060014356024,1188.26,106
060014357001,1298.5,646.6
060014357002,1807.3000000000002,128.26000000000002
060014357003,NA,NA
060014357004,1427.8200000000002,219.42000000000002
060014358001,1555.02,195.04000000000002
060014358002,1756.42,327.54
060014358003,1987.5,339.20000000000005
060014358004,1633.46,392.20000000000005
060014359001,2121.06,NA
060014359002,1936.6200000000001,260.76
060014359003,1881.5,945.5200000000001
060014359004,2121.06,NA
060014360001,2121.06,NA
060014360002,1946.16,265
060014360003,1913.3000000000002,503.5
060014361001,1726.74,210.94
060014361002,804.5400000000001,358.28000000000003
060014361003,1182.96,121.9
060014362001,1198.8600000000001,60.42
060014362002,1363.16,89.04
060014363001,1392.8400000000001,222.60000000000002
060014363002,1149.04,175.96
060014363003,1419.3400000000001,185.5
060014363004,1656.78,252.28
060014364011,1245.5,1262.46
060014364012,1332.42,151.58
060014364013,1000.6400000000001,222.60000000000002
060014364014,1406.6200000000001,164.3
060014364015,1456.44,66.78
060014364021,2121.06,NA
060014364022,2121.06,NA
060014365001,1129.96,140.98000000000002
060014365002,1417.22,58.300000000000004
060014366011,1339.8400000000001,186.56
060014366012,1225.3600000000001,48.760000000000005
060014366013,1465.98,127.2
060014366021,1234.9,63.6
060014366022,1227.48,130.38
060014367001,1680.1000000000001,253.34
060014367002,1267.76,268.18
060014368001,1294.26,85.86
060014368002,1712.96,293.62
060014369001,1191.44,61.480000000000004
060014369002,1394.96,133.56
060014369003,1605.9,571.34
060014369004,1205.22,147.34
060014370001,1543.3600000000001,641.3000000000001
060014370002,1921.7800000000002,154.76000000000002
060014370003,1848.64,54.06
060014371011,NA,NA
060014371012,1997.0400000000002,373.12
060014371013,2121.06,NA
060014371021,1203.1000000000001,74.2
060014371022,1779.74,164.3
060014371023,1477.64,90.10000000000001
060014372001,818.32,515.1600000000001
060014372002,2121.06,NA
060014372003,2121.06,NA
060014372004,1391.78,178.08
060014373001,1992.8000000000002,277.72
060014373002,1159.64,241.68
060014373003,1486.1200000000001,167.48000000000002
060014374001,792.88,1354.68
060014374002,1532.76,109.18
060014375001,1405.5600000000002,59.36
060014375002,1182.96,75.26
060014376001,1202.04,85.86
060014376002,1970.5400000000002,522.58
060014377011,1270.94,107.06
060014377012,1249.74,115.54
060014377013,1229.6000000000001,97.52000000000001
060014377021,1226.42,43.46
060014377022,1217.94,72.08
060014378001,1928.14,404.92
060014378002,1700.24,2063.82
060014379001,1351.5,134.62
060014379002,1131.02,189.74
060014380001,1438.42,133.56
060014380002,1530.64,1109.8200000000002
060014381001,2121.06,NA
060014381002,2121.06,NA
060014381003,1876.2,541.6600000000001
060014381004,2121.06,NA
060014381005,910.5400000000001,258.64
060014381006,NA,NA
060014382011,632.82,2400.9
060014382012,901,711.26
060014382013,2121.06,NA
060014382031,2121.06,NA
060014382032,1653.6000000000001,302.1
060014382041,2121.06,NA
060014382042,1717.2,1381.18
060014382043,1305.92,273.48
060014383001,1942.98,350.86
060014383002,1871.96,757.9000000000001
060014383003,1783.98,737.76
060014384001,1603.78,1057.88
060014384002,1689.64,988.98
060014401001,1512.6200000000001,93.28
060014402001,1491.42,263.94
060014402002,1159.64,292.56
060014402003,1630.28,482.3
060014402004,1302.74,137.8
060014403011,1261.4,366.76
060014403012,1206.28,103.88000000000001
060014403013,2121.06,NA
060014403014,634.94,528.94
060014403041,1912.24,96.46000000000001
060014403042,1356.8000000000002,171.72
060014403043,2006.5800000000002,743.0600000000001
060014403051,2121.06,NA
060014403052,2121.06,NA
060014403053,2121.06,NA
060014403061,1899.52,213.06
060014403062,2121.06,NA
060014403071,816.2,162.18
060014403072,1385.42,175.96
060014403073,2121.06,NA
060014403081,331.78000000000003,137.8
060014403082,1351.5,222.60000000000002
060014403083,310.58000000000004,3265.86
060014403084,1210.52,107.06
060014403311,1521.1000000000001,102.82000000000001
060014403312,1477.64,36.04
060014403321,1020.7800000000001,907.36
060014403322,2121.06,NA
060014403331,2121.06,NA
060014403332,1647.24,559.6800000000001
060014403341,1262.46,411.28000000000003
060014403342,1842.2800000000002,859.6600000000001
060014403351,2121.06,NA
060014403352,1654.66,439.90000000000003
060014403361,1468.1000000000001,120.84
060014403362,2121.06,NA
060014411001,1163.88,552.26
060014411002,1876.2,584.0600000000001
060014412001,1349.38,102.82000000000001
060014412002,1455.38,126.14
060014412003,2121.06,NA
060014413011,2121.06,NA
060014413012,1829.5600000000002,99.64
060014413021,2121.06,NA
060014413022,1506.26,271.36
060014413023,2121.06,NA
060014413024,1509.44,174.9
060014414011,1264.5800000000002,69.96000000000001
060014414012,1335.6000000000001,593.6
060014414013,942.34,1558.2
060014414014,2121.06,NA
060014414021,2120,342.38
060014414022,1652.5400000000002,208.82000000000002
060014414023,2006.5800000000002,575.58
060014415011,2121.06,NA
060014415012,1893.16,590.4200000000001
060014415031,2068.06,288.32
060014415032,2121.06,NA
060014415211,2121.06,NA
060014415212,2121.06,NA
060014415213,2121.06,NA
060014415214,2121.06,NA
060014415221,1528.52,236.38000000000002
060014415222,1842.2800000000002,254.4
